Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
373,053-0050,48,48,48.172283000000000,-103.767367000000000
374,053-0051,16,16,48.400639000000000,-103.063672000000000
375,053-0052,UNKNOWN,UNK,48.136697000000000,-103.857786000000000
376,053-0053,216,216,48.246594000000000,-103.622273000000000
377,053-0054,152,152,48.246594000000000,-103.622273000000000
378,053-0055,350,350,48.246594000000000,-103.622273000000000
379,053-0056,20,20,48.187215000000000,-103.772895000000000
380,053-0057,30,30,48.123268000000000,-103.535218000000000
381,053-0058,8,8,48.059787000000000,-103.857894000000000
382,053-0059,20,20,48.169624000000000,-103.131548000000000
383,053-0060,151,151,48.060101000000000,-103.857009000000000
384,053-0061,343,343,48.074204000000000,-103.834025000000000
385,053-0062,3,3,48.227716000000000,-103.718028000000000
386,053-0063,UNKNOWN,UNK,48.214292000000000,-103.624480000000000
387,007-0004,10,10,48.619062000000000,-102.386183000000000
388,007-0005,25,25,48.558916000000000,-102.644430000000000
389,007-0007,10,10,48.803959370000000,-102.250124030000000
390,007-0008,6,6,48.905114000000000,-102.778868000000000
391,007-0009,50,50,48.905129000000000,-102.782362000000000
392,007-0010,20,20,48.758915810000000,-102.320180950000000
393,007-0011,10,10,48.993535000000000,-102.546031000000000
394,007-0012,UNKNOWN,UNK,48.878358000000000,-102.563348000000000
395,007-0013,6,6,48.878329000000000,-102.563432000000000
396,051-0016,244,244,48.225422000000000,-101.247251000000000
397,007-0015,18,18,48.906470000000000,-102.778975000000000
398,007-0016,7,7,48.875437000000000,-102.568068000000000
399,007-0017,44,44,48.922339120000000,-102.268907140000000
400,007-0018,6,6,48.905146000000000,-102.778975000000000
401,007-0019,UNKNOWN,UNK,48.575273000000000,-102.850946000000000
402,025-0001,20,20,48.263467000000000,-100.842577000000000
403,027-0023,100,100,47.742254200000000,-103.277746400000000
404,027-0045,49,49,47.752751180000000,-103.283240570000000
405,028-0001,UNKNOWN,UNK,47.737298000000000,-102.043526000000000
406,053-0096,24,24,48.168714000000000,-103.726314000000000
407,053-0097,496,496,48.246097000000000,-103.621590000000000
408,053-0099,40,40,48.395190000000000,-102.934122000000000
409,053-0100,30,30,48.444075000000000,-103.733122000000000
410,053-0101,17,17,48.347615000000000,-103.160199000000000
411,053-0102,7,7,48.342477000000000,-103.159880000000000
412,053-0103,100,100,48.208499000000000,-103.623342000000000
413,053-0105,86,86,48.171265000000000,-103.653491000000000
414,053-0104,60,60,48.216721000000000,-103.625957000000000
415,053-0106,250,250,48.171265000000000,-103.653491000000000
416,053-0107,50,50,48.140320000000000,-103.841516000000000
417,053-0108,83,83,48.341917000000000,-102.828279000000000
418,053-0109,6,6,48.175473000000000,-103.613287000000000
419,053-0110,91,91,48.161179000000000,-103.625940000000000
420,053-0111,4,4,48.346436000000000,-103.159423000000000
421,053-0112,108,108,48.169191000000000,-103.635480000000000
422,053-0112,10,10,48.169191000000000,-103.635480000000000
423,053-0115,70,70,48.153507000000000,-103.776869000000000
424,053-0116,48,48,48.346006000000000,-102.936857000000000
425,053-0119,79,79,48.179464000000000,-103.630309000000000
426,053-0120,3,3,48.346419000000000,-103.160184000000000
427,053-0122,4,4,48.249630000000000,-103.129402000000000
428,053-0123,UNKNOWN,UNK,48.160313000000000,-103.646006000000000
429,053-0125,UNKNOWN,UNK,48.180653000000000,-103.628790000000000
430,053-0126,UNKNOWN,UNK,48.176886000000000,-103.626804000000000
431,053-0128,42,42,48.400679000000000,-102.940574000000000
432,053-0128,15,15,48.400679000000000,-102.940574000000000
433,053-0129,40,40,48.141509000000000,-103.680605000000000
434,053-0130,21,21,48.619714000000000,-103.940769000000000
435,053-0130,4,4,48.619714000000000,-103.940769000000000
436,053-0131,25,25,48.398467000000000,-103.022857000000000
437,053-0132,10,10,48.188088000000000,-103.646764000000000
438,053-0133,20,20,48.144765000000000,-103.620046000000000
439,053-0134,22,22,48.293851000000000,-103.694446000000000
440,053-0135,225,225,48.174367000000000,-103.651283000000000
441,053-0136,71,71,48.398467000000000,-103.022857000000000
442,053-0136,20,20,48.398467000000000,-103.022857000000000
443,053-0139,UNKNOWN,UNK,48.166914000000000,-103.625580000000000
444,053-0140,1003,1003,48.247401000000000,-103.622903000000000
445,053-0142,25,25,48.400648000000000,-102.940409000000000
446,053-0142,51,51,48.400648000000000,-102.940409000000000
447,053-0143,30,30,48.396548000000000,-102.934851000000000
448,053-0146,300,300,48.141664000000000,-103.844036000000000
449,013-0029,7,7,47.358554450000000,-102.727385290000000
450,028-0005,25,25,47.459103300000000,-101.146446680000000
451,053-0071,12,12,48.141255460000000,-103.844194850000000
452,053-0150,209,209,48.328833420000000,-103.621413870000000
453,053-0151,6,6,48.228126430000000,-103.610764890000000
454,053-0152,150,150,48.145478440000000,-103.586276910000000
455,053-0153,11,11,48.364776350000000,-102.931904040000000
456,053-0154,UNKNOWN,UNK,48.287877430000000,-103.679716860000000
457,053-0155,20,20,48.227089430000000,-103.578604900000000
458,053-0156,56,56,48.215769440000000,-103.677099880000000
459,053-0158,6,6,48.248876400000000,-103.346377950000000
460,053-0159,12,12,48.184077470000000,-103.950971810000000
